,title,views,date_time,video_link,thumbnail_link
58,🏆 GeeksforGeeks Hack-A-Thon: World-cup-Wizard Edition 🌟,364 views,3 months ago,https://www.youtube.com/watch?v=2mW7tclj6mc,https://i.ytimg.com/vi/2mW7tclj6mc/hqdefault.jpg
59,Ace your DevOps interview | GeeksforGeeks,69K views,3 months ago,https://www.youtube.com/watch?v=I-J28pjrTc8,https://i.ytimg.com/vi/I-J28pjrTc8/hqdefault.jpg
60,How to Get Free Google Cloud Qwiklabs Credits | Google Cloud Bootcamp | GeeksforGeeks,7K views,4 months ago,https://www.youtube.com/watch?v=lf-eQH28eAw,https://i.ytimg.com/vi/lf-eQH28eAw/hqdefault.jpg
61,"GeeksforGeeks Community – Connect, Ask, Learn & Grow with Tech Geeks",828 views,4 months ago,https://www.youtube.com/watch?v=dMX0Bel8V94,https://i.ytimg.com/vi/dMX0Bel8V94/hqdefault.jpg
62,Become a SDET Expert with GeeksforGeeks,53K views,4 months ago,https://www.youtube.com/watch?v=PLxzWN08w54,https://i.ytimg.com/vi/PLxzWN08w54/hqdefault.jpg
63,Geeks Premier League 2023 | India's Biggest Content Writing Event | GeeksforGeeks,1.8K views,4 months ago,https://www.youtube.com/watch?v=e0DLnBRZRj0,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg
64,Happy Engineer's Day To You All!,2.1K views,4 months ago,https://www.youtube.com/watch?v=g4M-zfzsqBg,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg
65,Decoding the Modern Job Landscape | An HR Perspective | GeeksforGeeks,745 views,4 months ago,https://www.youtube.com/watch?v=w3ucO_5NHCU,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg
66,Unlock GATE 2024 | GeeksforGeeks,22K views,4 months ago,https://www.youtube.com/watch?v=4TVPoMDU0Ts,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg
67,We Stole This For You,7.2K views,5 months ago,https://www.youtube.com/watch?v=eVV0MO_IBnw,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg
68,Career Advancement Test For EWS & PWD Candidates | Student Grant of INR 10 Lakh | GeeksforGeeks,6.1K views,5 months ago,https://www.youtube.com/watch?v=DpCJ74xg93E,https://i.ytimg.com/vi/DpCJ74xg93E/hqdefault.jpg
69,GfG Mobile App | Android & iOS | Download for Free,2.4K views,5 months ago,https://www.youtube.com/watch?v=Rsh8xd3aIqw,https://i.ytimg.com/vi/Rsh8xd3aIqw/hqdefault.jpg
70,🔒 Securing Your Data in the Cloud: GCP's Top SECURITY Features | GeesforGeeks,444 views,5 months ago,https://www.youtube.com/watch?v=rwLBsyQ4rO8,https://i.ytimg.com/vi/rwLBsyQ4rO8/hqdefault.jpg
71,GATE CSE Offline Classes | GATE 2024 Crash Course | Delhi NCR | GeeksforGeeks,18K views,5 months ago,https://www.youtube.com/watch?v=a9xiYYqbaHg,https://i.ytimg.com/vi/a9xiYYqbaHg/hqdefault.jpg
72,How to Build a To-Do Application in Flutter | GeeksforGeeks,944 views,5 months ago,https://www.youtube.com/watch?v=fNuURHd7POk,https://i.ytimg.com/vi/fNuURHd7POk/hqdefault.jpg
73,How to Use Google Sign-in With Firebase in Flutter | GeeksforGeeks,6.7K views,5 months ago,https://www.youtube.com/watch?v=MRb_2Kg0nRI,https://i.ytimg.com/vi/MRb_2Kg0nRI/hqdefault.jpg
74,Machine Learning on GCP | Harnessing the Power of AI | GeeksforGeeks,539 views,5 months ago,https://www.youtube.com/watch?v=KSTX28pUSeI,https://i.ytimg.com/vi/KSTX28pUSeI/hqdefault.jpg
75,GRAPH Data Structure | What is Graph? | DSA Course | GeeksforGeeks,3.1K views,5 months ago,https://www.youtube.com/watch?v=gTsoyORhqkg,https://i.ytimg.com/vi/gTsoyORhqkg/hqdefault.jpg
76,Handling Missing Values | Machine Learning | GeeksforGeeks,769 views,5 months ago,https://www.youtube.com/watch?v=yFJ2_phRslY,https://i.ytimg.com/vi/yFJ2_phRslY/hqdefault.jpg
77,Security Risks of Cloud Computing | GeeksforGeeks,1.3K views,5 months ago,https://www.youtube.com/watch?v=6lxKkdyvS6M,https://i.ytimg.com/vi/6lxKkdyvS6M/hqdefault.jpg
78,DSA Classroom Program with Placement Assistance | Now in Noida & Gurugram | GeeksforGeeks,132K views,5 months ago,https://www.youtube.com/watch?v=ACZoeLwm_fE,https://i.ytimg.com/vi/ACZoeLwm_fE/hqdefault.jpg
79,Free Cloud Bootcamp Sponsored by Google for Developers | GeeksforGeeks,2.3K views,6 months ago,https://www.youtube.com/watch?v=uXpOqQEw7Pc,https://i.ytimg.com/vi/uXpOqQEw7Pc/hqdefault.jpg
80,All Your Queries Answered | DSA to Development Program | GeeksforGeeks,1.8K views,6 months ago,https://www.youtube.com/watch?v=kHBzDvj3D2U,https://i.ytimg.com/vi/kHBzDvj3D2U/hqdefault.jpg
81,10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,877 views,6 months ago,https://www.youtube.com/watch?v=2QDMIZGeIC4,https://i.ytimg.com/vi/2QDMIZGeIC4/hqdefault.jpg
82,Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,639 views,6 months ago,https://www.youtube.com/watch?v=1ECMlxC6jbs,https://i.ytimg.com/vi/1ECMlxC6jbs/hqdefault.jpg
83,Master System Design | GeeksforGeeks,86K views,6 months ago,https://www.youtube.com/watch?v=vjWLZYeqiN8,https://i.ytimg.com/vi/vjWLZYeqiN8/hqdefault.jpg
84,"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",554 views,6 months ago,https://www.youtube.com/watch?v=6e0v_NhsFMQ,https://i.ytimg.com/vi/6e0v_NhsFMQ/hqdefault.jpg
85,Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,839 views,6 months ago,https://www.youtube.com/watch?v=-7Emxpn8DXc,https://i.ytimg.com/vi/-7Emxpn8DXc/hqdefault.jpg
86,GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,42K views,6 months ago,https://www.youtube.com/watch?v=2bPiFkt3Nmg,https://i.ytimg.com/vi/2bPiFkt3Nmg/hqdefault.jpg
87,Kickstart your DevOps Career | GeeksforGeeks,112K views,6 months ago,https://www.youtube.com/watch?v=8gwwlpBwr_s,https://i.ytimg.com/vi/8gwwlpBwr_s/hqdefault.jpg
88,First Ever KBC at our Offline Classes | GeeksforGeeks,718 views,6 months ago,https://www.youtube.com/watch?v=chYg2EAKW2A,https://i.ytimg.com/vi/chYg2EAKW2A/hqdefault.jpg
89,Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,1.2K views,6 months ago,https://www.youtube.com/watch?v=CyOh-WDfUvs,https://i.ytimg.com/vi/CyOh-WDfUvs/hqdefault.jpg
90,How to Get Free Google Cloud Qwiklabs Credits | Google Cloud Bootcamp | GeeksforGeeks,7K views,4 months ago,https://www.youtube.com/watch?v=lf-eQH28eAw,https://i.ytimg.com/vi/lf-eQH28eAw/hqdefault.jpg
91,"GeeksforGeeks Community – Connect, Ask, Learn & Grow with Tech Geeks",828 views,4 months ago,https://www.youtube.com/watch?v=dMX0Bel8V94,https://i.ytimg.com/vi/dMX0Bel8V94/hqdefault.jpg
92,Become a SDET Expert with GeeksforGeeks,53K views,4 months ago,https://www.youtube.com/watch?v=PLxzWN08w54,https://i.ytimg.com/vi/PLxzWN08w54/hqdefault.jpg
93,Geeks Premier League 2023 | India's Biggest Content Writing Event | GeeksforGeeks,1.8K views,4 months ago,https://www.youtube.com/watch?v=e0DLnBRZRj0,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg
94,Happy Engineer's Day To You All!,2.1K views,4 months ago,https://www.youtube.com/watch?v=g4M-zfzsqBg,https://i.ytimg.com/vi/g4M-zfzsqBg/hqdefault.jpg
95,Decoding the Modern Job Landscape | An HR Perspective | GeeksforGeeks,745 views,4 months ago,https://www.youtube.com/watch?v=w3ucO_5NHCU,https://i.ytimg.com/vi/w3ucO_5NHCU/hqdefault.jpg
96,Unlock GATE 2024 | GeeksforGeeks,22K views,4 months ago,https://www.youtube.com/watch?v=4TVPoMDU0Ts,https://i.ytimg.com/vi/4TVPoMDU0Ts/hqdefault.jpg
97,We Stole This For You,7.2K views,5 months ago,https://www.youtube.com/watch?v=eVV0MO_IBnw,https://i.ytimg.com/vi/eVV0MO_IBnw/hqdefault.jpg
98,Career Advancement Test For EWS & PWD Candidates | Student Grant of INR 10 Lakh | GeeksforGeeks,6.1K views,5 months ago,https://www.youtube.com/watch?v=DpCJ74xg93E,https://i.ytimg.com/vi/DpCJ74xg93E/hqdefault.jpg
99,GfG Mobile App | Android & iOS | Download for Free,2.4K views,5 months ago,https://www.youtube.com/watch?v=Rsh8xd3aIqw,https://i.ytimg.com/vi/Rsh8xd3aIqw/hqdefault.jpg
100,🔒 Securing Your Data in the Cloud: GCP's Top SECURITY Features | GeesforGeeks,444 views,5 months ago,https://www.youtube.com/watch?v=rwLBsyQ4rO8,https://i.ytimg.com/vi/rwLBsyQ4rO8/hqdefault.jpg
101,GATE CSE Offline Classes | GATE 2024 Crash Course | Delhi NCR | GeeksforGeeks,18K views,5 months ago,https://www.youtube.com/watch?v=a9xiYYqbaHg,https://i.ytimg.com/vi/a9xiYYqbaHg/hqdefault.jpg
102,How to Build a To-Do Application in Flutter | GeeksforGeeks,944 views,5 months ago,https://www.youtube.com/watch?v=fNuURHd7POk,https://i.ytimg.com/vi/fNuURHd7POk/hqdefault.jpg
103,How to Use Google Sign-in With Firebase in Flutter | GeeksforGeeks,6.7K views,5 months ago,https://www.youtube.com/watch?v=MRb_2Kg0nRI,https://i.ytimg.com/vi/MRb_2Kg0nRI/hqdefault.jpg
104,Machine Learning on GCP | Harnessing the Power of AI | GeeksforGeeks,539 views,5 months ago,https://www.youtube.com/watch?v=KSTX28pUSeI,https://i.ytimg.com/vi/KSTX28pUSeI/hqdefault.jpg
105,GRAPH Data Structure | What is Graph? | DSA Course | GeeksforGeeks,3.1K views,5 months ago,https://www.youtube.com/watch?v=gTsoyORhqkg,https://i.ytimg.com/vi/gTsoyORhqkg/hqdefault.jpg
106,Handling Missing Values | Machine Learning | GeeksforGeeks,769 views,5 months ago,https://www.youtube.com/watch?v=yFJ2_phRslY,https://i.ytimg.com/vi/yFJ2_phRslY/hqdefault.jpg
107,Security Risks of Cloud Computing | GeeksforGeeks,1.3K views,5 months ago,https://www.youtube.com/watch?v=6lxKkdyvS6M,https://i.ytimg.com/vi/6lxKkdyvS6M/hqdefault.jpg
108,DSA Classroom Program with Placement Assistance | Now in Noida & Gurugram | GeeksforGeeks,132K views,5 months ago,https://www.youtube.com/watch?v=ACZoeLwm_fE,https://i.ytimg.com/vi/ACZoeLwm_fE/hqdefault.jpg
109,Free Cloud Bootcamp Sponsored by Google for Developers | GeeksforGeeks,2.3K views,6 months ago,https://www.youtube.com/watch?v=uXpOqQEw7Pc,https://i.ytimg.com/vi/uXpOqQEw7Pc/hqdefault.jpg
110,All Your Queries Answered | DSA to Development Program | GeeksforGeeks,1.8K views,6 months ago,https://www.youtube.com/watch?v=kHBzDvj3D2U,https://i.ytimg.com/vi/kHBzDvj3D2U/hqdefault.jpg
111,10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,877 views,6 months ago,https://www.youtube.com/watch?v=2QDMIZGeIC4,https://i.ytimg.com/vi/2QDMIZGeIC4/hqdefault.jpg
112,Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,639 views,6 months ago,https://www.youtube.com/watch?v=1ECMlxC6jbs,https://i.ytimg.com/vi/1ECMlxC6jbs/hqdefault.jpg
113,Master System Design | GeeksforGeeks,86K views,6 months ago,https://www.youtube.com/watch?v=vjWLZYeqiN8,https://i.ytimg.com/vi/vjWLZYeqiN8/hqdefault.jpg
114,"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",554 views,6 months ago,https://www.youtube.com/watch?v=6e0v_NhsFMQ,https://i.ytimg.com/vi/6e0v_NhsFMQ/hqdefault.jpg
115,Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,839 views,6 months ago,https://www.youtube.com/watch?v=-7Emxpn8DXc,https://i.ytimg.com/vi/-7Emxpn8DXc/hqdefault.jpg
116,GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,42K views,6 months ago,https://www.youtube.com/watch?v=2bPiFkt3Nmg,https://i.ytimg.com/vi/2bPiFkt3Nmg/hqdefault.jpg
117,Kickstart your DevOps Career | GeeksforGeeks,112K views,6 months ago,https://www.youtube.com/watch?v=8gwwlpBwr_s,https://i.ytimg.com/vi/8gwwlpBwr_s/hqdefault.jpg
118,First Ever KBC at our Offline Classes | GeeksforGeeks,718 views,6 months ago,https://www.youtube.com/watch?v=chYg2EAKW2A,https://i.ytimg.com/vi/chYg2EAKW2A/hqdefault.jpg
119,Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,1.2K views,6 months ago,https://www.youtube.com/watch?v=CyOh-WDfUvs,https://i.ytimg.com/vi/CyOh-WDfUvs/hqdefault.jpg
120,Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,638 views,7 months ago,https://www.youtube.com/watch?v=GDeoPHRqb5w,https://i.ytimg.com/vi/GDeoPHRqb5w/hqdefault.jpg
121,Geek-O-Lympics 2023 | GeeksforGeeks,3.4K views,7 months ago,https://www.youtube.com/watch?v=hLqJiIu6LzY,https://i.ytimg.com/vi/hLqJiIu6LzY/hqdefault.jpg
122,Web 3.0 Explained | GeeksforGeeks,2K views,7 months ago,https://www.youtube.com/watch?v=zEPRJMk3p90,https://i.ytimg.com/vi/zEPRJMk3p90/hqdefault.jpg
123,Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,1.2K views,7 months ago,https://www.youtube.com/watch?v=GSqepfZLKU0,https://i.ytimg.com/vi/GSqepfZLKU0/hqdefault.jpg
124,What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,1.2K views,7 months ago,https://www.youtube.com/watch?v=MK15a0ipg-E,https://i.ytimg.com/vi/MK15a0ipg-E/hqdefault.jpg
